ref x,ref y),x,y
11.173499,2.451116,10.979994,2.705266
11.245914,2.520145,11.004253,2.729292
11.245914,2.520145,11.028413,2.753419
11.245914,2.520145,11.052499,2.777613
11.317558,2.589975,11.076486,2.801904
11.317558,2.589975,11.100404,2.826252
11.317558,2.589975,11.124241,2.850676
11.388421,2.660597,11.147977,2.875203
11.388421,2.660597,11.171633,2.899806
11.458495,2.732002,11.195185,2.924514
11.458495,2.732002,11.218626,2.949334
11.458495,2.732002,11.242002,2.97421
11.527772,2.804181,11.265269,2.99919
11.527772,2.804181,11.288444,3.024258
11.527772,2.804181,11.311508,3.049434
11.596242,2.877126,11.334485,3.074686
11.596242,2.877126,11.357366,3.100021
11.596242,2.877126,11.380167,3.125427
11.663897,2.950828,11.402854,3.150937
11.663897,2.950828,11.425445,3.17653
11.663897,2.950828,11.447972,3.202175
11.730727,3.025277,11.470369,3.227937
11.730727,3.025277,11.492701,3.253751
11.730727,3.025277,11.514918,3.279671
11.796725,3.100465,11.537021,3.305695
11.796725,3.100465,11.55903,3.331797
11.861883,3.176383,11.580965,3.357956
11.861883,3.176383,11.602788,3.384209
11.861883,3.176383,11.624527,3.41053
11.926194,3.253019,11.646163,3.436942
11.926194,3.253019,11.667677,3.463459
11.926194,3.253019,11.689115,3.490033
11.989649,3.330366,11.710449,3.516693
11.989649,3.330366,11.731679,3.543435
11.989649,3.330366,11.752825,3.570246
12.052241,3.408413,11.77384,3.597167
12.052241,3.408413,11.794761,3.624163
12.052241,3.408413,11.815584,3.651231
12.113961,3.48715,11.836302,3.678385
12.113961,3.48715,11.856916,3.705614
12.174804,3.566569,11.877432,3.732921
12.174804,3.566569,11.897826,3.760328
12.174804,3.566569,11.918114,3.787809
12.234758,3.646659,11.938308,3.81536
12.234758,3.646659,11.958389,3.842998
12.234758,3.646659,11.978368,3.870702
12.293819,3.727411,11.998249,3.898479
12.293819,3.727411,12.018038,3.926313
12.293819,3.727411,12.037736,3.954207
12.351978,3.808814,12.057313,3.982198
12.351978,3.808814,12.076788,4.010254
12.351978,3.808814,12.096158,4.038386
12.409228,3.89086,12.115402,4.066611
12.409228,3.89086,12.134555,4.09489
12.409228,3.89086,12.153611,4.12323
12.465563,3.973537,12.17253,4.151671
12.465563,3.973537,12.191361,4.180166
12.520975,4.056834,12.210069,4.208742
12.520975,4.056834,12.228648,4.237407
12.520975,4.056834,12.247143,4.266118
12.575459,4.140743,12.265531,4.294893
12.575459,4.140743,12.283793,4.32375
12.575459,4.140743,12.301955,4.352667
12.629006,4.225251,12.320007,4.381648
12.629006,4.225251,12.337963,4.410685
12.629006,4.225251,12.355782,4.439807
12.681611,4.310349,12.3735,4.468995
12.681611,4.310349,12.391083,4.498265
12.681611,4.310349,12.408589,4.527578
12.733268,4.396028,12.425943,4.556987
12.733268,4.396028,12.443184,4.586463
12.783968,4.482274,12.460319,4.615999
12.783968,4.482274,12.477322,4.645615
12.783968,4.482274,12.494214,4.67529
12.833705,4.56908,12.511016,4.70501
12.833705,4.56908,12.527691,4.734801
12.833705,4.56908,12.544265,4.764646
12.882475,4.656433,12.560731,4.794547
12.882475,4.656433,12.577094,4.824502
12.882475,4.656433,12.593329,4.854531
12.93027,4.744323,12.609445,4.884628
12.93027,4.744323,12.625438,4.914789
12.93027,4.744323,12.641346,4.944989
12.977085,4.832739,12.65713,4.975258
12.977085,4.832739,12.672782,5.005604
12.977085,4.832739,12.688308,5.036015
13.022915,4.921669,12.703702,5.066497
13.022915,4.921669,12.718989,5.097029
13.067755,5.011104,12.734174,5.127611
13.067755,5.011104,12.749232,5.15826
13.067755,5.011104,12.764178,5.188962
13.111597,5.101031,12.779025,5.219708
13.111597,5.101031,12.793772,5.250503
13.111597,5.101031,12.80839,5.281364
13.154437,5.19144,12.822873,5.3123
13.154437,5.19144,12.837247,5.343283
13.154437,5.19144,12.851517,5.374312
13.19627,5.282319,12.865677,5.405408
13.19627,5.282319,12.879728,5.436555
13.19627,5.282319,12.893721,5.467741
13.237089,5.373658,12.907651,5.498974
13.237089,5.373658,12.921528,5.530231
13.27689,5.465445,12.935385,5.561512
13.27689,5.465445,12.94896,5.592895
13.27689,5.465445,12.962449,5.624313
13.315668,5.55767,12.975799,5.655793
13.315668,5.55767,12.989057,5.687307
