ref x,ref y),x,y
13.494057,6.02494,13.589822,5.958484
13.494057,6.02494,13.60055,5.99095
13.494057,6.02494,13.611135,6.023463
13.526603,6.119543,13.621581,6.056021
13.526603,6.119543,13.631885,6.088625
13.526603,6.119543,13.642045,6.121273
13.558096,6.214502,13.652063,6.153966
13.558096,6.214502,13.661939,6.186702
13.558096,6.214502,13.671672,6.219481
13.588531,6.309806,13.681262,6.252302
13.588531,6.309806,13.690711,6.285165
13.588531,6.309806,13.700012,6.318069
13.617903,6.405442,13.709173,6.351014
13.617903,6.405442,13.718191,6.383998
13.617903,6.405442,13.727062,6.417021
13.646211,6.501399,13.735788,6.450083
13.646211,6.501399,13.744372,6.483183
13.646211,6.501399,13.752812,6.51632
13.67345,6.597664,13.761106,6.549494
13.67345,6.597664,13.769255,6.582703
13.67345,6.597664,13.777257,6.615947
13.699618,6.694227,13.785115,6.649227
13.699618,6.694227,13.792828,6.68254
13.699618,6.694227,13.800396,6.715886
13.724712,6.791074,13.807816,6.749264
13.724712,6.791074,13.815089,6.782674
13.724712,6.791074,13.82222,6.816116
13.748728,6.888194,13.829202,6.84959
13.748728,6.888194,13.835925,6.883264
13.748728,6.888194,13.842242,6.917225
13.771664,6.985574,13.848164,6.951382
13.771664,6.985574,13.853707,6.985633
13.793514,7.083204,13.858891,7.019927
13.793514,7.083204,13.863739,7.054239
13.793514,7.083204,13.86827,7.088559
13.814278,7.181071,13.872502,7.12288
13.814278,7.181071,13.876448,7.157202
13.814278,7.181071,13.880122,7.191526
13.833952,7.279162,13.883533,7.225852
13.833952,7.279162,13.886691,7.260182
13.833952,7.279162,13.889604,7.294518
13.852533,7.377467,13.892276,7.328857
13.852533,7.377467,13.894712,7.363202
13.852533,7.377467,13.896916,7.397553
13.870022,7.475972,13.898892,7.431909
13.870022,7.475972,13.900671,7.466234
13.870022,7.475972,13.902433,7.50034
13.886415,7.574665,13.90437,7.534168
13.886415,7.574665,13.906645,7.567758
13.886415,7.574665,13.90939,7.601184
13.90171,7.673534,13.912722,7.634521
13.90171,7.673534,13.916735,7.66783
13.90171,7.673534,13.921381,7.701124
13.915906,7.772567,13.926569,7.734427
13.915906,7.772567,13.932413,7.767768
13.915906,7.772567,13.938948,7.801137
13.929,7.871751,13.946049,7.834475
13.929,7.871751,13.953563,7.86774
13.929,7.871751,13.961197,7.900898
13.94099,7.971076,13.96873,7.934008
13.94099,7.971076,13.976023,7.967163
13.94099,7.971076,13.983032,8.000446
13.951876,8.070527,13.989515,8.033983
13.951876,8.070527,13.99532,8.067875
13.951876,8.070527,14.000364,8.102197
13.961654,8.170093,14.004533,8.137033
13.961654,8.170093,14.007708,8.172457
13.961654,8.170093,14.009784,8.208409
13.970325,8.269761,14.010829,8.244655
13.970325,8.269761,14.011123,8.280733
13.970325,8.269761,14.010962,8.316286
13.977887,8.36952,14.010418,8.351305
13.977887,8.36952,14.009636,8.385988
13.984341,8.469357,14.008658,8.420506
13.984341,8.469357,14.007482,8.45494
13.984341,8.469357,14.006099,8.489329
13.989684,8.56926,14.004504,8.523691
13.989684,8.56926,14.002691,8.55803
13.989684,8.56926,14.000724,8.592177
13.993917,8.669215,13.998948,8.626072
13.993917,8.669215,13.997487,8.659738
13.993917,8.669215,13.99648,8.693258
13.997039,8.769212,13.995725,8.726787
13.997039,8.769212,13.994954,8.760495
13.997039,8.769212,13.993934,8.79449
13.999049,8.869237,13.992461,8.828838
13.999049,8.869237,13.990529,8.863362
13.999049,8.869237,13.988373,8.897753
13.999948,8.969277,13.986224,8.931884
13.999948,8.969277,13.98428,8.965772
13.999948,8.969277,13.982692,8.999497
13.999733,9.069323,13.981589,9.033154
13.999733,9.069323,13.981081,9.066826
13.999733,9.069323,13.981167,9.100544
13.998405,9.169359,13.981707,9.134301
13.998405,9.169359,13.982633,9.168095
13.998405,9.169359,13.983881,9.201918
13.995966,9.269375,13.9854,9.235763
13.995966,9.269375,13.987145,9.269624
13.995966,9.269375,13.989082,9.303493
13.992415,9.369357,13.99118,9.337368
13.992415,9.369357,13.993416,9.371246
13.992415,9.369357,13.995765,9.405123
13.987754,9.469294,13.998173,9.439
13.987754,9.469294,14.000414,9.472891
13.987754,9.469294,14.002327,9.506842
13.981982,9.569172,14.003845,9.540864
13.981982,9.569172,14.005047,9.57492
13.981982,9.569172,14.005982,9.608992
13.975101,9.66898,14.006625,9.643109
13.975101,9.66898,14.006805,9.677373
13.975101,9.66898,14.006368,9.711871
13.967111,9.768705,14.005155,9.746684
13.967111,9.768705,14.003025,9.781876
13.967111,9.768705,13.999838,9.817501
13.958013,9.868337,13.995551,9.853411
13.958013,9.868337,13.990298,9.889289
13.947807,9.967859,13.984192,9.924979
13.947807,9.967859,13.977477,9.960231
13.947807,9.967859,13.970516,9.994831
13.936495,10.067263,13.963519,10.028893
13.936495,10.067263,13.95648,10.062614
13.936495,10.067263,13.949346,10.096168
13.924078,10.166534,13.942085,10.129638
13.924078,10.166534,13.934679,10.163064
13.924078,10.166534,13.927134,10.196472
13.910559,10.265662,13.919493,10.22989
13.910559,10.265662,13.911732,10.263313
13.910559,10.265662,13.9039,10.296759
13.895939,10.364634,13.896082,10.33027
13.895939,10.364634,13.8882,10.363639
13.895939,10.364634,13.880952,10.394135
13.880219,10.463436,13.874347,10.422306
13.880219,10.463436,13.868239,10.449312
13.880219,10.463436,13.862513,10.475747
13.880219,10.463436,13.857122,10.501951
13.863404,10.562058,13.852275,10.52819
13.863404,10.562058,13.847905,10.554532
13.863404,10.562058,13.843931,10.580997
13.863404,10.562058,13.84022,10.608013
13.845493,10.660487,13.836597,10.638105
13.845493,10.660487,13.833113,10.670169
