Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^2,,,,,
26.724,0.20869,6.393519,6.672081,1.056633,0,13,,,,,
26.86,0.208588,6.336717,6.892375,1.056806,0,13,,,,,
26.968,0.214325,6.021842,7.067258,1.056055,0,13,,,,,
27.106,0.210086,6.345224,6.948636,1.05449,0,13,,,,,
27.211,0.210259,6.287427,6.922125,1.053611,0,12,,,,,
27.347,0.215055,6.693343,6.372563,1.055007,0,12,,,,,
27.451,0.212156,6.68702,6.40204,1.056119,0,13,,,,,
27.567,0.207954,6.435417,6.688088,1.057323,0,14,,,,,
27.706,0.208455,6.376988,6.931025,1.057457,0,14,,,,,
27.814,0.210657,6.706266,6.896171,1.057274,0,14,,,,,
27.95,0.209856,6.607544,7.367191,1.056015,0,14,,,,,
28.05,0.210499,6.266867,7.063829,1.055026,0,13,,,,,
28.189,0.211851,6.598603,6.654699,1.054695,0,12,,,,,
28.305,0.210295,6.562834,6.472262,1.054201,0,12,,,,,
28.417,0.210013,6.313017,6.529907,1.055184,0,12,,,,,
28.555,0.211013,6.27147,6.706679,1.056078,0,13,,,,,
28.661,0.208664,6.611594,6.884494,1.056602,0,13,,,,,
28.793,0.208033,6.546786,6.808544,1.055687,0,13,,,,,
28.905,0.211165,6.264589,6.632456,1.054121,0,12,,,,,
29.045,0.207137,6.652758,6.608933,1.053214,0,12,,,,,
29.153,0.205608,6.644104,6.352446,1.053431,0,12,,,,,
29.267,0.207086,6.481882,5.974808,1.055068,0,12,,,,,
29.4,0.206107,7.152365,6.078418,1.055613,0,13,,,,,
29.505,0.198297,6.940108,6.487488,1.057069,0,13,,,,,
29.636,0.19704,6.916665,6.785069,1.057796,0,14,,,,,
29.743,0.200479,7.238306,7.258661,1.06035,0,15,,,,,
29.884,0.199256,7.076085,7.962994,1.059686,0,15,,,,,
29.988,0.198794,6.624708,7.796624,1.058148,0,14,,,,,
30.124,0.200917,6.457198,7.504396,1.056194,0,13,,,,,
30.228,0.202687,6.681945,7.21403,1.054905,0,13,,,,,
30.368,0.202165,6.556162,7.11054,1.055291,0,13,,,,,
30.508,0.205141,6.588553,6.676887,1.054357,0,11,,,,,
30.639,0.201441,6.344338,6.079853,1.051785,0,10,,,,,
30.752,0.200407,6.395784,5.545194,1.050097,0,9,,,,,
30.865,0.198447,7.025507,5.145355,1.050228,0,9,,,,,
31.003,0.192847,7.221645,4.982725,1.050905,0,8,,,,,
31.111,0.184877,7.327112,4.101474,1.05297,0,8,,,,,
31.247,0.179759,7.609506,4.468459,1.052861,0,9,,,,,
31.351,0.169425,8.4743,4.903395,1.054922,0,10,,,,,
31.491,0.16211,8.485466,5.585767,0.717424,1,28,,,,,
31.595,0.165135,8.38794,8.647604,0.822156,5,28,,,,,
31.731,0.174574,7.258588,13.991734,1.069329,0,27,,,,,
31.842,0.187094,6.341676,12.569395,1.025471,0,13,,,,,
31.953,0.198549,5.760331,7.336448,1.024276,0,2,,,,,
32.082,0.19667,5.531074,3.093416,1.039454,0,-8,,,,,
32.191,0.183193,5.648849,-0.796913,1.050443,0,-6,,,,,
32.334,0.170515,5.974434,-1.635987,1.049649,0,0,,,,,
32.442,0.156988,6.403871,0.234642,1.051248,0,5,,,,,
32.582,0.140023,6.336286,2.993381,1.059792,0,15,,,,,
32.686,0.136389,6.039886,5.325808,1.067399,0,15,,,,,
32.826,0.141976,5.476641,6.333089,1.039812,0,12,,,,,
32.965,0.137158,4.781538,5.303476,1.01128,0,0,,,,,
33.075,0.139981,4.342005,2.938849,0.998813,0,0,,,,,
33.209,0.136215,4.251481,1.338748,0.99847,0,-3,,,,,
33.313,0.124478,4.412229,-0.415835,0.994587,0,-2,,,,,
33.442,0.115661,4.536605,-0.448004,0.99131,0,0,,,,,
33.551,0.101831,4.602542,0.4437,0.986589,0,7,,,,,
33.685,0.095927,4.534606,1.69643,0.982358,0,8,,,,,
33.789,0.100154,4.220706,3.190797,0.974687,0,8,,,,,
33.921,0.09876,3.913637,3.323373,0.965445,0,5,,,,,
34.027,0.093982,3.554098,2.493837,0.954517,0,3,,,,,
34.165,0.092991,3.347256,1.609647,0.951099,0,0,,,,,
34.273,0.08224,3.200609,0.530107,0.948806,0,0,,,,360,
34.405,0.077649,3.163864,0.047772,0.947054,0,0,,,,,
34.512,0.073509,3.129139,0.204115,0.944554,0,1,,,,,
34.644,0.068044,3.068681,0.54108,0.942506,0,2,,,,,
34.748,0.075852,2.914128,1.170491,0.940262,0,3,,,,,
34.88,0.071417,2.737858,1.408827,0.936732,0,3,,,,,
34.988,0.065379,2.463925,1.41878,0.933539,0,3,,,,,
35.12,0.066704,2.284583,1.146685,0.931516,0,1,,,,,
35.224,0.053667,2.117811,0.660723,0.928038,0,0,,,,,
35.36,0.052898,2.017672,0.530328,0.926891,0,1,,,,,
35.464,0.048029,1.911051,0.519516,0.92597,0,1,,,,,
35.596,0.045179,1.823478,0.570149,0.92449,0,1,,,,,
35.703,0.051528,1.715007,0.601662,0.923045,0,1,,,,,
35.843,0.060855,1.578786,0.602341,0.921535,0,1,,,,,
35.951,0.06205,1.517326,0.588568,0.920729,0,1,,,,,
36.083,0.045584,1.392761,0.535835,0.919446,0,1,,,,,
36.191,0.048554,1.319124,0.471942,0.91891,0,0,,,,,
36.327,0.03493,1.239753,0.337326,0.917394,0,0,,,,,
