Time(s),Lateral Error(m),Heading Error(deg),Heading angular velocity(deg),speed(m/s),delta(deg),Acc(m/s^24.525000,0.003552,0.168582,0.118446,0.298935,10,9
32.075,0.009923,3.687117,3.649943,0.994835,21,0,,,,,,
32.183,0.010028,3.874981,5.671036,1.017795,21,0,,,,,,
32.315,0.041447,3.52051,8.596675,1.027448,21,0,,,,,,
32.415,0.049852,3.226172,9.61589,1.022478,21,0,,,,,,
32.555,0.046905,3.191477,8.752591,0.998983,2,0,,,,,,
32.663,0.053494,3.082189,5.799223,0.987026,3,0,,,,,,
32.772,0.055378,3.115125,3.381064,0.992316,3,0,,,,,,
32.902,0.05515,3.455159,2.516709,0.995881,3,0,,,,,,
33.01,0.06681,4.432239,1.95173,0.998419,3,0,,,,,,
33.142,0.062004,4.88315,1.77652,0.999212,3,0,,,,,,
33.248,0.037736,5.239153,2.865354,1.004775,9,0,,,,,,
33.378,0.033411,5.548307,3.649222,1.004834,9,0,,,,,,
33.486,0.043135,5.664028,4.147031,1.003765,9,0,,,,,,
33.622,0.043045,5.878374,4.330028,1.003076,9,0,,,,,,
33.73,0.034991,6.569145,4.440455,1.002646,9,0,,,,,,
33.866,0.030858,6.761895,4.484036,1.002459,9,0,,,,,,
33.97,0.014986,6.802028,4.482521,1.00234,9,0,,,,,,
34.101,0.013965,6.989877,4.48593,1.0022,9,0,,,,,,
34.209,0.048251,7.02814,4.351533,0.951235,22,0,,,,,,
34.341,0.036687,7.167557,5.776545,0.833386,22,0,,,,,,
34.445,0.048873,6.863302,7.75136,0.822997,22,0,,,,,,
34.585,0.040506,6.547608,5.421996,0.464313,25,0,,,,,,
34.693,0.00996,6.530297,8.728023,0.809778,2,1,,,,,,
34.829,0.027615,6.029847,6.709282,0.981714,2,0,,,,,,
34.937,0.027486,6.126639,4.136941,0.991362,-14,0,,,,,,
35.05,0.040938,7.105085,-0.189207,1.006578,-14,0,,,,,,
35.184,0.041227,7.946044,-3.413628,1.015322,-14,0,,,,,,
35.288,0.043941,9.180469,-4.66461,1.00317,14,0,,,,,,
35.42,0.067418,10.189801,-2.579448,0.997366,14,0,,,,,,
35.526,0.095683,10.798024,2.747589,1.022037,28,0,,,,,,
35.664,0.107415,10.882534,7.734019,1.057674,28,0,,,,,,
35.776,0.10977,10.790837,11.836214,1.052108,28,0,,,,,,
35.913,0.101686,9.659286,13.533628,1.033872,-14,0,,,,,,
36.028,0.096379,9.001788,11.389809,0.992736,-14,0,,,,,,
36.138,0.105967,8.428258,6.167483,0.979814,-14,0,,,,,,
36.276,0.113283,8.666509,1.886356,0.993054,28,0,,,,,,
36.384,0.124142,9.775595,1.626577,0.998348,28,0,,,,,,
36.52,0.136325,10.116194,4.518872,1.02219,28,0,,,,,,
36.623,0.143028,9.742315,10.059373,1.05808,28,0,,,,,,
